epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.617,1.40026,4.59467,1.68295,0,0,0,0,1.30617,4.8055,1.66814,7.12696e-05,7.12696e-05,7.12696e-05
2,629.557,1.29256,4.31162,1.59136,0.60408,0.03139,0.03889,0.02466,1.37818,4.43557,1.73969,0.00011517,0.00011517,0.00011517
3,960.22,1.31333,4.05413,1.63171,0.52419,0.06557,0.06011,0.03566,1.44039,4.25013,1.78967,0.000130426,0.000130426,0.000130426
4,1288.9,1.29875,3.8383,1.62062,0.5469,0.11806,0.08942,0.05034,1.42228,3.95307,1.81092,8.8102e-05,8.8102e-05,8.8102e-05
5,1613.62,1.29635,3.64998,1.62535,0.58958,0.11805,0.10539,0.06217,1.39022,3.90713,1.79534,4.5136e-05,4.5136e-05,4.5136e-05
